EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,B__nT_(1min),BX_(GSM)_(@_x-component_)_nT_(1min),BY_(GSM)_(@_y-component_)_nT_(1min),BZ_(GSM)_(@_z-component_)_nT_(1min)
2014-02-13T23:00:30.000Z,6.35133,3.65457,-3.20517,4.07906
2014-02-13T23:01:30.000Z,6.36072,3.36166,-3.48051,4.11722
2014-02-13T23:02:30.000Z,6.35239,3.43305,-3.19305,4.27653
2014-02-13T23:03:30.000Z,6.35746,3.30733,-3.75235,3.86936
2014-02-13T23:04:30.000Z,6.33256,3.22631,-0.897171,5.33553
2014-02-13T23:05:30.000Z,6.35280,3.03565,-0.227644,5.54644
2014-02-13T23:06:30.000Z,6.38198,3.12467,-1.51128,5.32679
2014-02-13T23:07:30.000Z,6.37273,3.21693,-0.899851,5.41824
2014-02-13T23:08:30.000Z,6.37819,3.09626,-0.739972,5.51980
2014-02-13T23:09:30.000Z,6.38269,3.11813,-1.00370,5.47260
2014-02-13T23:10:30.000Z,6.38834,2.99626,-0.692436,5.59181
2014-02-13T23:11:30.000Z,6.38068,2.93003,-0.511317,5.63835
2014-02-13T23:12:30.000Z,6.38335,3.15111,-0.497514,5.52601
2014-02-13T23:13:30.000Z,6.38150,2.90562,-0.748763,5.60338
2014-02-13T23:14:30.000Z,6.36660,2.85201,-0.702167,5.64131
2014-02-13T23:15:30.000Z,6.36746,3.11740,-0.743737,5.50113
2014-02-13T23:16:30.000Z,6.37606,3.18716,-0.929402,5.44083
2014-02-13T23:17:30.000Z,6.37749,3.33841,-1.02815,5.33302
2014-02-13T23:18:30.000Z,6.38249,3.09881,-1.01473,5.48019
2014-02-13T23:19:30.000Z,6.36760,3.04620,-1.00195,5.49790
2014-02-13T23:20:30.000Z,6.36908,3.18599,-0.899907,5.43504
2014-02-13T23:21:30.000Z,6.36983,3.21217,-0.709993,5.44493
2014-02-13T23:22:30.000Z,6.35778,3.28702,-0.742159,5.38674
2014-02-13T23:23:30.000Z,6.38284,3.49486,-0.489272,5.31259
2014-02-13T23:24:30.000Z,6.37783,3.25286,-0.819824,5.41986
2014-02-13T23:25:30.000Z,6.38224,3.20191,-0.916726,5.43916
2014-02-13T23:26:30.000Z,6.39619,2.71253,-1.44401,5.60591
2014-02-13T23:27:30.000Z,6.40482,2.73133,-1.43012,5.61049
2014-02-13T23:28:30.000Z,6.40077,3.25996,-2.13333,5.06645
2014-02-13T23:29:30.000Z,6.37479,3.14440,-1.98076,5.13585
2014-02-13T23:30:30.000Z,6.39461,3.40174,-0.381672,5.37421
2014-02-13T23:31:30.000Z,6.40665,3.23715,-0.324624,5.48289
2014-02-13T23:32:30.000Z,6.40107,3.03380,-1.10879,5.52215
2014-02-13T23:33:30.000Z,6.37106,3.01192,-0.753651,5.54420
2014-02-13T23:34:30.000Z,6.36866,3.25494,-0.833554,5.39787
2014-02-13T23:35:30.000Z,6.38077,3.43623,-1.07612,5.25566
2014-02-13T23:36:30.000Z,6.34243,3.69979,-1.21825,4.95942
2014-02-13T23:37:30.000Z,6.34677,3.41933,-1.31287,5.10473
2014-02-13T23:38:30.000Z,6.38942,3.93705,-1.13834,4.86152
2014-02-13T23:39:30.000Z,6.41240,4.12103,-1.42209,4.69684
2014-02-13T23:40:30.000Z,6.46018,3.76179,-1.92721,4.84631
2014-02-13T23:41:30.000Z,6.45289,3.03292,-2.11770,5.27220
2014-02-13T23:42:30.000Z,6.48466,2.98001,-1.88589,5.41887
2014-02-13T23:43:30.000Z,6.48262,4.56087,-2.28294,3.93268
2014-02-13T23:44:30.000Z,6.47117,4.12728,-1.94943,4.56840
2014-02-13T23:45:30.000Z,6.50353,4.13424,-2.36427,4.42114
2014-02-13T23:46:30.000Z,6.52845,4.13023,-2.33817,4.47437
2014-02-13T23:47:30.000Z,6.55235,4.23236,-2.93385,3.98645
2014-02-13T23:48:30.000Z,6.52361,3.72876,-3.57963,3.96381
2014-02-13T23:49:30.000Z,6.49423,3.72573,-3.46076,4.01031
2014-02-13T23:50:30.000Z,6.47845,4.32269,-3.42399,3.37306
2014-02-13T23:51:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-13T23:52:30.000Z,6.42377,4.02089,-3.88655,3.14186
2014-02-13T23:53:30.000Z,6.40305,3.83706,-3.73860,3.48648
2014-02-13T23:54:30.000Z,6.38670,3.71632,-3.87233,3.44642
2014-02-13T23:55:30.000Z,6.36892,3.43222,-3.71953,3.84884
2014-02-13T23:56:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-13T23:57:30.000Z,6.31365,3.90581,-3.25379,3.72858
2014-02-13T23:58:30.000Z,6.27323,3.58613,-2.90485,4.23381
2014-02-13T23:59:30.000Z,6.28010,3.26691,-3.45951,4.05686
2014-02-14T00:00:30.000Z,6.25374,3.12090,-3.87646,3.77905
2014-02-14T00:01:30.000Z,6.23777,3.15989,-3.99499,3.59138
2014-02-14T00:02:30.000Z,6.21903,3.07727,-4.28464,3.24970
2014-02-14T00:03:30.000Z,6.16279,2.72286,-4.17589,3.31440
2014-02-14T00:04:30.000Z,6.18656,3.07557,-0.701953,5.28956
2014-02-14T00:05:30.000Z,6.21142,3.17153,-0.390625,5.30763
2014-02-14T00:06:30.000Z,6.20406,3.04639,-0.612693,5.36616
2014-02-14T00:07:30.000Z,6.18664,3.06614,-0.874731,5.29828
2014-02-14T00:08:30.000Z,6.17254,2.99891,-0.968252,5.30541
2014-02-14T00:09:30.000Z,6.15603,2.67457,-0.833072,5.47915
2014-02-14T00:10:30.000Z,6.13725,3.14131,-1.19236,5.12113
2014-02-14T00:11:30.000Z,6.10962,3.09748,-1.58108,5.01727
2014-02-14T00:12:30.000Z,6.12033,3.13654,-1.75617,4.94580
2014-02-14T00:13:30.000Z,6.10396,3.08295,-1.65021,4.98064
2014-02-14T00:14:30.000Z,6.08222,3.17886,-2.46902,4.54836
2014-02-14T00:15:30.000Z,6.08945,3.15825,-2.24612,4.67060
2014-02-14T00:16:30.000Z,6.08035,3.30998,-2.45454,4.45821
2014-02-14T00:17:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-14T00:18:30.000Z,6.06469,3.38842,-2.68290,4.14926
2014-02-14T00:19:30.000Z,6.03282,3.24465,-1.57461,4.83028
2014-02-14T00:20:30.000Z,6.00528,3.33668,-1.76114,4.66192
2014-02-14T00:21:30.000Z,5.98883,3.35227,-1.88277,4.58781
2014-02-14T00:22:30.000Z,5.97535,3.34376,-1.99850,4.52722
2014-02-14T00:23:30.000Z,5.99616,3.37124,-2.03149,4.51606
2014-02-14T00:24:30.000Z,5.95973,3.45817,-2.30226,4.25836
2014-02-14T00:25:30.000Z,5.95396,3.51483,-2.15026,4.28268
2014-02-14T00:26:30.000Z,5.96767,3.57881,-2.85134,3.82478
2014-02-14T00:27:30.000Z,5.93448,3.31449,-2.15959,4.41049
2014-02-14T00:28:30.000Z,5.92818,3.41228,-2.10871,4.36033
2014-02-14T00:29:30.000Z,5.92606,3.40339,-2.10790,4.36877
2014-02-14T00:30:30.000Z,5.91648,3.44861,-2.07428,4.33629
2014-02-14T00:31:30.000Z,5.92861,3.50628,-2.10523,4.28873
2014-02-14T00:32:30.000Z,5.93514,3.57713,-2.11637,4.23266
2014-02-14T00:33:30.000Z,5.92039,3.61316,-2.15223,4.16296
2014-02-14T00:34:30.000Z,5.92218,3.52772,-2.30724,4.15439
2014-02-14T00:35:30.000Z,5.92648,3.42166,-2.41572,4.18334
2014-02-14T00:36:30.000Z,5.92756,3.40253,-2.43678,4.19634
2014-02-14T00:37:30.000Z,5.93068,3.55582,-2.40980,4.08620
2014-02-14T00:38:30.000Z,5.90825,3.51321,-2.52215,4.02179
2014-02-14T00:39:30.000Z,5.89857,3.39405,-2.64824,4.03007
2014-02-14T00:40:30.000Z,5.89475,3.45650,-2.54782,4.03425
2014-02-14T00:41:30.000Z,5.93098,3.53757,-2.53610,4.01032
2014-02-14T00:42:30.000Z,5.93121,3.67506,-2.89672,3.63849
2014-02-14T00:43:30.000Z,5.92565,3.39293,-3.48639,3.37300
2014-02-14T00:44:30.000Z,5.90196,3.24843,-3.06292,3.85330
2014-02-14T00:45:30.000Z,5.90739,3.30291,-3.15643,3.73653
2014-02-14T00:46:30.000Z,5.90117,3.16895,-3.39452,3.63871
2014-02-14T00:47:30.000Z,5.89182,3.25776,-3.43936,3.49487
2014-02-14T00:48:30.000Z,5.89622,3.35972,-3.31822,3.48127
2014-02-14T00:49:30.000Z,5.92199,3.24306,-2.73004,4.13210
2014-02-14T00:50:30.000Z,5.91028,3.29630,-2.87057,3.97322
2014-02-14T00:51:30.000Z,5.90484,3.29226,-2.76987,4.04079
2014-02-14T00:52:30.000Z,5.91966,3.26953,-2.63149,4.16777
2014-02-14T00:53:30.000Z,5.92233,3.47838,-2.28111,4.20686
2014-02-14T00:54:30.000Z,5.90816,3.29340,-3.10550,3.77274
2014-02-14T00:55:30.000Z,5.87948,3.21152,-3.26163,3.67814
2014-02-14T00:56:30.000Z,5.87014,3.28161,-3.09553,3.75369
2014-02-14T00:57:30.000Z,5.87763,3.56295,-2.93259,3.62926
2014-02-14T00:58:30.000Z,5.87293,3.49933,-2.99725,3.62140
2014-02-14T00:59:30.000Z,5.88946,2.94767,-2.22813,4.52023
2014-02-14T01:00:30.000Z,5.85503,2.70110,-2.03805,4.77526
2014-02-14T01:01:30.000Z,5.85080,2.97383,-1.85142,4.67147
2014-02-14T01:02:30.000Z,5.85456,2.76674,-0.245543,5.09738
2014-02-14T01:03:30.000Z,5.86042,2.51955,-0.923708,5.17594
2014-02-14T01:04:30.000Z,5.87144,2.59957,-1.09325,5.12558
2014-02-14T01:05:30.000Z,5.86906,3.17918,-1.36890,4.73123
2014-02-14T01:06:30.000Z,5.86425,3.15748,-1.54285,4.68470
2014-02-14T01:07:30.000Z,5.85861,2.66881,-1.07618,5.09203
2014-02-14T01:08:30.000Z,5.89026,2.54403,-1.24026,5.14211
2014-02-14T01:09:30.000Z,5.91671,2.48752,-1.37404,5.17065
2014-02-14T01:10:30.000Z,5.91441,2.71061,-1.39250,5.05817
2014-02-14T01:11:30.000Z,5.88439,3.12957,-1.05318,4.86183
2014-02-14T01:12:30.000Z,5.88979,3.16865,-1.66881,4.65904
2014-02-14T01:13:30.000Z,5.88228,3.05606,-1.71080,4.70191
2014-02-14T01:14:30.000Z,5.93962,2.39647,-2.47377,4.81910
2014-02-14T01:15:30.000Z,5.92943,1.99180,-3.04983,4.65746
2014-02-14T01:16:30.000Z,5.91366,1.65189,-3.75720,4.23667
2014-02-14T01:17:30.000Z,5.85739,2.15661,-2.47924,4.81670
2014-02-14T01:18:30.000Z,5.87407,2.57162,-1.92894,4.90626
2014-02-14T01:19:30.000Z,5.85635,2.65245,-1.79585,4.87822
2014-02-14T01:20:30.000Z,5.86316,2.64379,0.252326,5.18036
2014-02-14T01:21:30.000Z,5.83385,2.54777,0.636392,5.20075
2014-02-14T01:22:30.000Z,5.82814,2.58073,0.305249,5.19912
2014-02-14T01:23:30.000Z,5.84684,2.52821,0.514820,5.23625
2014-02-14T01:24:30.000Z,5.85229,2.66170,-0.542326,5.14081
2014-02-14T01:25:30.000Z,5.84926,2.57684,-1.33645,5.05989
2014-02-14T01:26:30.000Z,5.84501,2.27049,-1.29921,5.21547
2014-02-14T01:27:30.000Z,5.85646,1.95995,-1.63341,5.26022
2014-02-14T01:28:30.000Z,5.84661,2.60605,-1.68210,4.94817
2014-02-14T01:29:30.000Z,5.85890,3.14702,-1.16331,4.67643
2014-02-14T01:30:30.000Z,5.87847,2.68370,-1.74964,4.92687
2014-02-14T01:31:30.000Z,5.86893,2.56449,-2.26821,4.75562
2014-02-14T01:32:30.000Z,5.85217,2.69611,-1.99124,4.77603
2014-02-14T01:33:30.000Z,5.81172,2.65561,-2.20735,4.65208
2014-02-14T01:34:30.000Z,5.79557,2.38253,-2.72178,4.45941
2014-02-14T01:35:30.000Z,5.82759,2.66771,-3.38945,3.78021
2014-02-14T01:36:30.000Z,5.83084,2.55482,-3.78708,3.60864
2014-02-14T01:37:30.000Z,5.79446,2.23456,-3.53402,4.00015
2014-02-14T01:38:30.000Z,5.78588,1.96805,-3.35243,4.24989
2014-02-14T01:39:30.000Z,5.75852,1.86359,-3.63597,3.96938
2014-02-14T01:40:30.000Z,5.76343,2.26987,-3.67168,3.80334
2014-02-14T01:41:30.000Z,5.81375,2.68632,-3.17521,4.05291
2014-02-14T01:42:30.000Z,5.80435,2.42981,-3.44094,3.95537
2014-02-14T01:43:30.000Z,5.78940,2.28965,-4.17395,3.28662
2014-02-14T01:44:30.000Z,5.78819,2.51421,-3.70438,3.66158
2014-02-14T01:45:30.000Z,5.80695,2.49659,-3.43833,3.94242
2014-02-14T01:46:30.000Z,5.81993,2.52839,-3.73800,3.66710
2014-02-14T01:47:30.000Z,5.81866,2.48093,-3.75958,3.67775
2014-02-14T01:48:30.000Z,5.80337,2.28178,-3.95876,3.54169
2014-02-14T01:49:30.000Z,5.76788,2.52715,-4.39205,2.75139
2014-02-14T01:50:30.000Z,5.77745,2.55604,-4.33182,2.82967
2014-02-14T01:51:30.000Z,5.79613,2.62273,-4.24601,2.92694
2014-02-14T01:52:30.000Z,5.78836,1.98298,-3.96665,3.68495
2014-02-14T01:53:30.000Z,5.83052,2.29145,-4.35723,3.06157
2014-02-14T01:54:30.000Z,5.83463,2.42304,-4.52150,2.75216
2014-02-14T01:55:30.000Z,5.84789,2.66635,-4.58520,2.45481
2014-02-14T01:56:30.000Z,5.82371,2.11424,-4.39640,3.09498
2014-02-14T01:57:30.000Z,5.83454,1.44591,-4.16525,3.81775
2014-02-14T01:58:30.000Z,5.84992,1.87537,-4.29216,3.49884
2014-02-14T01:59:30.000Z,5.85557,1.83624,-4.35418,3.45374
2014-02-14T02:00:30.000Z,5.85511,2.11265,-4.48134,3.07094
2014-02-14T02:01:30.000Z,5.83583,2.46716,-4.65203,2.47527
2014-02-14T02:02:30.000Z,5.84771,2.32331,-4.36371,3.08700
2014-02-14T02:03:30.000Z,5.85372,2.19562,-4.43124,3.10349
2014-02-14T02:04:30.000Z,5.86139,2.30076,-4.33057,3.14614
2014-02-14T02:05:30.000Z,5.86770,2.09527,-4.89524,2.42824
2014-02-14T02:06:30.000Z,5.85502,2.34466,-4.92126,2.12909
2014-02-14T02:07:30.000Z,5.84245,1.92754,-4.98287,2.33180
2014-02-14T02:08:30.000Z,5.84459,1.64225,-4.94224,2.64481
2014-02-14T02:09:30.000Z,5.87090,1.65374,-5.13841,2.30320
2014-02-14T02:10:30.000Z,5.87251,1.59783,-5.29440,1.96535
2014-02-14T02:11:30.000Z,5.88384,1.61207,-5.34760,1.84821
2014-02-14T02:12:30.000Z,5.85318,1.80550,-5.24245,1.86056
2014-02-14T02:13:30.000Z,5.83689,1.68026,-5.30762,1.73835
2014-02-14T02:14:30.000Z,5.82441,1.87425,-5.17537,1.81763
2014-02-14T02:15:30.000Z,5.82609,2.06751,-5.12430,1.82556
2014-02-14T02:16:30.000Z,5.79850,2.31088,-4.66226,2.27313
2014-02-14T02:17:30.000Z,5.80259,3.35891,-2.80783,3.79234
2014-02-14T02:18:30.000Z,5.78709,3.28698,-2.79216,3.85478
2014-02-14T02:19:30.000Z,5.81323,3.32158,-2.92660,3.76461
2014-02-14T02:20:30.000Z,5.78369,3.45068,-2.84649,3.65795
2014-02-14T02:21:30.000Z,5.79483,3.61225,-2.90216,3.46972
2014-02-14T02:22:30.000Z,5.78785,3.54908,-2.94670,3.48858
2014-02-14T02:23:30.000Z,5.81956,3.53066,-3.07338,3.45415
2014-02-14T02:24:30.000Z,5.84024,3.60614,-2.85178,3.60058
2014-02-14T02:25:30.000Z,5.82708,3.66905,-2.81609,3.51404
2014-02-14T02:26:30.000Z,5.82856,3.22560,-3.45593,3.40606
2014-02-14T02:27:30.000Z,5.84092,3.10455,-3.63538,3.35344
2014-02-14T02:28:30.000Z,5.85878,3.08444,-3.82832,3.18220
2014-02-14T02:29:30.000Z,5.85385,2.95228,-3.74419,3.38939
2014-02-14T02:30:30.000Z,5.86872,2.73304,-3.99801,3.31403
2014-02-14T02:31:30.000Z,5.90026,2.78892,-4.06111,3.24482
2014-02-14T02:32:30.000Z,5.86033,3.56943,-3.21865,3.31609
2014-02-14T02:33:30.000Z,5.84176,3.77968,-3.03631,3.25265
2014-02-14T02:34:30.000Z,5.87125,3.50682,-3.21942,3.41642
2014-02-14T02:35:30.000Z,5.87620,3.59790,-3.23846,3.32067
2014-02-14T02:36:30.000Z,5.90452,3.50902,-3.30644,3.40132
2014-02-14T02:37:30.000Z,5.91900,3.49262,-3.22648,3.52117
2014-02-14T02:38:30.000Z,5.89410,3.40908,-3.57300,3.20498
2014-02-14T02:39:30.000Z,5.89599,3.31911,-3.37099,3.46140
2014-02-14T02:40:30.000Z,5.94653,3.20020,-3.80339,3.25672
2014-02-14T02:41:30.000Z,5.97882,3.25807,-3.92351,3.11819
2014-02-14T02:42:30.000Z,5.89280,3.42651,-3.64636,3.10830
2014-02-14T02:43:30.000Z,5.89633,3.35146,-3.69238,3.14567
2014-02-14T02:44:30.000Z,5.95366,3.21265,-3.92322,3.10710
2014-02-14T02:45:30.000Z,5.97620,3.25299,-3.70212,3.37848
2014-02-14T02:46:30.000Z,5.94816,3.33056,-3.27836,3.66820
2014-02-14T02:47:30.000Z,5.95455,3.46741,-2.48094,4.12964
2014-02-14T02:48:30.000Z,5.95211,3.41644,-2.60835,4.11465
2014-02-14T02:49:30.000Z,5.97945,3.38657,-2.84402,4.02214
2014-02-14T02:50:30.000Z,5.93579,3.45588,-2.60832,4.05742
2014-02-14T02:51:30.000Z,5.86221,3.33339,-2.38759,4.18196
2014-02-14T02:52:30.000Z,5.86304,3.37535,-2.57809,4.03848
2014-02-14T02:53:30.000Z,5.87224,3.34823,-2.48304,4.12354
2014-02-14T02:54:30.000Z,5.91635,3.35096,-2.74279,4.02792
2014-02-14T02:55:30.000Z,6.04168,3.43236,-2.92854,4.01612
2014-02-14T02:56:30.000Z,6.06031,3.45944,-2.93036,4.02085
2014-02-14T02:57:30.000Z,6.01579,3.35123,-3.12167,3.89970
2014-02-14T02:58:30.000Z,6.05466,3.34271,-2.81872,4.18109
2014-02-14T02:59:30.000Z,6.08203,3.26897,-2.46006,4.49930
2014-02-14T03:00:30.000Z,6.05969,3.60175,-1.34889,4.64543
2014-02-14T03:01:30.000Z,6.03334,3.42037,-1.05049,4.85596
2014-02-14T03:02:30.000Z,6.04242,3.29618,-1.50787,4.82930
2014-02-14T03:03:30.000Z,6.01838,3.19575,-1.88147,4.73677
2014-02-14T03:04:30.000Z,6.01595,3.17959,-1.82127,4.77065
2014-02-14T03:05:30.000Z,6.03578,3.07498,-1.81201,4.86616
2014-02-14T03:06:30.000Z,6.05230,3.15842,-1.67352,4.88207
2014-02-14T03:07:30.000Z,6.04906,3.12157,-1.47580,4.96611
2014-02-14T03:08:30.000Z,6.04505,3.09356,-1.78844,4.87172
2014-02-14T03:09:30.000Z,6.03330,3.08190,-1.88898,4.82839
2014-02-14T03:10:30.000Z,6.00715,3.07589,-1.74376,4.85243
2014-02-14T03:11:30.000Z,6.00885,3.13648,-1.62798,4.85766
2014-02-14T03:12:30.000Z,6.02363,3.22989,-1.63328,4.81347
2014-02-14T03:13:30.000Z,5.92575,3.09652,-1.54077,4.80733
2014-02-14T03:14:30.000Z,6.05264,3.26807,-1.29185,4.92649
2014-02-14T03:15:30.000Z,6.04710,3.31481,-1.25899,4.89751
2014-02-14T03:16:30.000Z,6.05922,3.29237,-1.30935,4.91447
2014-02-14T03:17:30.000Z,6.05579,3.19961,-1.29363,4.97430
2014-02-14T03:18:30.000Z,6.02262,3.27937,-0.886243,4.97204
2014-02-14T03:19:30.000Z,6.00082,3.28171,-0.859890,4.94732
2014-02-14T03:20:30.000Z,5.97027,3.25255,-0.887113,4.92474
2014-02-14T03:21:30.000Z,5.96963,3.63835,-0.769068,4.66656
2014-02-14T03:22:30.000Z,5.95241,3.74398,-0.593817,4.58685
2014-02-14T03:23:30.000Z,5.92737,3.44743,-0.450807,4.79854
2014-02-14T03:24:30.000Z,5.91905,3.42920,-0.310142,4.81277
2014-02-14T03:25:30.000Z,5.92391,3.32169,-0.712220,4.85242
2014-02-14T03:26:30.000Z,5.87334,3.33181,-0.796428,4.76864
2014-02-14T03:27:30.000Z,5.72331,3.18943,-1.24148,4.58468
2014-02-14T03:28:30.000Z,5.73377,3.10391,-1.34125,4.62640
2014-02-14T03:29:30.000Z,5.74835,3.12097,-1.21821,4.66509
2014-02-14T03:30:30.000Z,5.77956,3.08160,-1.17976,4.74162
2014-02-14T03:31:30.000Z,5.74093,3.07098,-1.33140,4.66107
2014-02-14T03:32:30.000Z,5.72405,3.04428,-0.490156,4.82131
2014-02-14T03:33:30.000Z,5.71501,3.05151,-0.325082,4.81358
2014-02-14T03:34:30.000Z,5.69624,3.37655,-0.326358,4.56758
2014-02-14T03:35:30.000Z,5.72051,3.66869,-1.20646,4.21601
2014-02-14T03:36:30.000Z,5.73381,3.88038,-1.35516,3.98516
2014-02-14T03:37:30.000Z,5.73483,3.20365,-0.232691,4.66914
2014-02-14T03:38:30.000Z,5.72170,2.45572,0.414495,5.15017
2014-02-14T03:39:30.000Z,5.74450,2.62269,0.245348,5.10430
2014-02-14T03:40:30.000Z,5.73531,2.54826,0.284585,5.12514
2014-02-14T03:41:30.000Z,5.73040,2.24890,0.513680,5.24123
2014-02-14T03:42:30.000Z,5.72677,2.24191,0.364831,5.25070
2014-02-14T03:43:30.000Z,5.71349,2.36737,0.279346,5.18513
2014-02-14T03:44:30.000Z,5.71298,2.58437,0.417654,5.07189
2014-02-14T03:45:30.000Z,5.72175,2.52492,0.241025,5.12430
2014-02-14T03:46:30.000Z,5.71575,2.61353,0.134667,5.07838
2014-02-14T03:47:30.000Z,5.70515,2.88278,0.0453561,4.91498
